year_month,Uf,Product,unit,volume,created_at
2013-01-01 00:00:00.000000,PIAUÍ,ÓLEO DIESEL MARÍTIMO (m3),m3,130.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,CEARÁ,ÓLEO DIESEL MARÍTIMO (m3),m3,400.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO GRANDE DO NORTE,ÓLEO DIESEL MARÍTIMO (m3),m3,9349.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARAÍBA,ÓLEO DIESEL MARÍTIMO (m3),m3,141.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PERNAMBUCO,ÓLEO DIESEL MARÍTIMO (m3),m3,1068.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ALAGOAS,ÓLEO DIESEL MARÍTIMO (m3),m3,83.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SERGIPE,ÓLEO DIESEL MARÍTIMO (m3),m3,284.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,BAHIA,ÓLEO DIESEL MARÍTIMO (m3),m3,2197.058,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MINAS GERAIS,ÓLEO DIESEL MARÍTIMO (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ESPÍRITO SANTO,ÓLEO DIESEL MARÍTIMO (m3),m3,4046.941,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO DE JANEIRO,ÓLEO DIESEL MARÍTIMO (m3),m3,28093.381,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SÃO PAULO,ÓLEO DIESEL MARÍTIMO (m3),m3,2842.04,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARANÁ,ÓLEO DIESEL MARÍTIMO (m3),m3,603.9,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SANTA CATARINA,ÓLEO DIESEL MARÍTIMO (m3),m3,4834.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO GRANDE DO SUL,ÓLEO DIESEL MARÍTIMO (m3),m3,1818.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MATO GROSSO DO SUL,ÓLEO DIESEL MARÍTIMO (m3),m3,810.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MATO GROSSO,ÓLEO DIESEL MARÍTIMO (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,GOIÁS,ÓLEO DIESEL MARÍTIMO (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,DISTRITO FEDERAL,ÓLEO DIESEL MARÍTIMO (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RONDÔNIA,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,10.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ACRE,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,AMAZONAS,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RORAIMA,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARÁ,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,AMAPÁ,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,TOCANTINS,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MARANHÃO,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PIAUÍ,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,CEARÁ,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO GRANDE DO NORTE,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARAÍBA,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PERNAMBUCO,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ALAGOAS,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SERGIPE,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,BAHIA,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MINAS GERAIS,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,2.491,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ESPÍRITO SANTO,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO DE JANEIRO,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,893.606,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SÃO PAULO,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,1691.852,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARANÁ,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,89.777,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SANTA CATARINA,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,20.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO GRANDE DO SUL,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,3933.312,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MATO GROSSO DO SUL,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,30.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MATO GROSSO,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,GOIÁS,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,DISTRITO FEDERAL,ÓLEO DIESEL (OUTROS ) (m3),OUTROS ,0.0,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,RONDÔNIA,ÓLEO DIESEL S-10 (m3),m3,12517.9,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,ACRE,ÓLEO DIESEL S-10 (m3),m3,2253.0,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,AMAZONAS,ÓLEO DIESEL S-10 (m3),m3,7952.262,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,RORAIMA,ÓLEO DIESEL S-10 (m3),m3,1856.6,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,PARÁ,ÓLEO DIESEL S-10 (m3),m3,46813.45,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,AMAPÁ,ÓLEO DIESEL S-10 (m3),m3,891.0,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,TOCANTINS,ÓLEO DIESEL S-10 (m3),m3,15295.6,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,MARANHÃO,ÓLEO DIESEL S-10 (m3),m3,20226.5,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,PIAUÍ,ÓLEO DIESEL S-10 (m3),m3,167251.68,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,CEARÁ,ÓLEO DIESEL S-10 (m3),m3,61558.161,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,RIO GRANDE DO NORTE,ÓLEO DIESEL S-10 (m3),m3,8367.0,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,PARAÍBA,ÓLEO DIESEL S-10 (m3),m3,13239.87,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,PERNAMBUCO,ÓLEO DIESEL S-10 (m3),m3,68334.0,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,ALAGOAS,ÓLEO DIESEL S-10 (m3),m3,9001.5,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,SERGIPE,ÓLEO DIESEL S-10 (m3),m3,10641.5,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,BAHIA,ÓLEO DIESEL S-10 (m3),m3,62844.116,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,MINAS GERAIS,ÓLEO DIESEL S-10 (m3),m3,122718.383,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,ESPÍRITO SANTO,ÓLEO DIESEL S-10 (m3),m3,19840.35,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,RIO DE JANEIRO,ÓLEO DIESEL S-10 (m3),m3,96899.815,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,SÃO PAULO,ÓLEO DIESEL S-10 (m3),m3,266790.807,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,PARANÁ,ÓLEO DIESEL S-10 (m3),m3,77543.666,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,SANTA CATARINA,ÓLEO DIESEL S-10 (m3),m3,612054.306,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,RIO GRANDE DO SUL,ÓLEO DIESEL S-10 (m3),m3,60585.175,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,MATO GROSSO DO SUL,ÓLEO DIESEL S-10 (m3),m3,28238.2,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,MATO GROSSO,ÓLEO DIESEL S-10 (m3),m3,40309.371,2021-09-06 11:51:29.993326
